MKS Dąbrowa Górnicza II,37,76.6,21.2,38.5,55.0,7.1,22.3,31.7,28.2,60.8,46.4,13.1,19.9,65.7,10.08,25.03,35.11,15.9,20.22,20.05,14.8,9.14,3.49,1.97,86.1,,Sezon 2009/2010,MKS Dąbrowa Górnicza
Przeciwnicy,37,69.4,18.8,39.6,47.5,6.0,19.8,30.1,24.8,59.4,41.7,13.9,21.1,65.8,8.97,21.92,30.89,10.8,20.27,19.97,14.7,9.81,1.97,3.49,66.2,,Sezon 2009/2010,MKS Dąbrowa Górnicza
Polski Cukier Start Lublin,33,72.6,20.2,41.2,49.0,5.7,19.0,30.1,25.9,60.2,43.0,15.1,20.9,72.3,9.30,25.42,34.73,13.1,19.82,21.00,15.4,9.61,2.03,2.97,76.6,,Sezon 2009/2010,MKS Start Lublin
Przeciwnicy,33,71.7,17.4,36.9,47.2,8.1,25.7,31.6,25.5,62.6,40.8,12.5,18.7,67.0,9.15,23.70,32.85,13.4,21.18,19.76,14.5,10.09,3.00,2.03,73.3,,Sezon 2009/2010,MKS Start Lublin
Siarka Tarnobrzeg,36,75.4,18.9,38.0,49.7,7.7,22.3,34.4,26.6,60.3,44.0,14.6,20.9,69.9,10.81,24.19,35.00,14.2,20.78,21.75,14.1,10.39,3.19,2.08,84.0,,Sezon 2009/2010,Siarka Tarnobrzeg
Przeciwnicy,36,67.1,17.3,37.1,46.5,6.6,21.7,30.3,23.8,58.8,40.5,12.8,19.3,66.6,8.94,21.72,30.67,12.6,21.97,20.47,15.7,9.08,2.14,3.19,64.4,,Sezon 2009/2010,Siarka Tarnobrzeg
KS Spójnia Stargard,32,75.5,20.9,40.6,51.6,6.8,20.9,32.4,27.7,61.5,45.1,13.3,19.5,67.9,10.19,23.63,33.81,15.6,21.31,19.13,16.0,11.38,2.31,3.13,82.5,,Sezon 2009/2010,Spójnia Stargard Szcz.
Przeciwnicy,32,72.0,17.9,36.7,48.9,7.3,22.4,32.8,25.3,59.1,42.8,14.1,20.6,68.4,8.94,22.19,31.13,13.4,19.19,21.09,16.7,9.53,3.13,2.31,72.2,,Sezon 2009/2010,Spójnia Stargard Szcz.
Victoria Górnik Wałbrzych,33,73.9,19.3,38.6,49.9,7.8,24.5,31.7,27.0,63.1,42.8,12.1,18.2,66.5,8.61,22.33,30.94,10.9,20.21,19.85,12.7,10.61,2.88,2.12,74.4,,Sezon 2009/2010,Victoria Górnik Wałbrzych
Przeciwnicy,33,81.2,23.2,42.6,54.3,6.9,20.5,33.6,30.0,63.1,47.6,14.2,20.8,68.6,10.58,26.73,37.30,14.7,19.97,20.12,14.1,8.85,2.12,2.88,90.5,,Sezon 2009/2010,Victoria Górnik Wałbrzych
